Datetime,Open,High,Low,Close,Volume,Trading_code
2021-04-26 09:15:00+05:30,339.25,346.35,339.25,345.35,7715118,SBIN
2021-04-26 09:30:00+05:30,345.5,346.5,345.0,345.05,3010818,SBIN
2021-04-26 09:45:00+05:30,345.1,346.25,345.0,345.9,2390991,SBIN
2021-04-26 10:00:00+05:30,345.85,346.35,344.25,344.5,2074132,SBIN
2021-04-26 10:15:00+05:30,344.45,345.2,344.05,345.1,1476206,SBIN
2021-04-26 10:30:00+05:30,345.15,346.7,344.35,346.0,2858358,SBIN
2021-04-26 10:45:00+05:30,345.95,346.2,345.1,345.7,1041426,SBIN
2021-04-26 11:00:00+05:30,345.8,347.35,345.65,346.5,2296107,SBIN
2021-04-26 11:15:00+05:30,346.55,347.0,345.9,345.9,1302639,SBIN
2021-04-26 11:30:00+05:30,346.05,346.95,345.7,346.55,1418870,SBIN
2021-04-26 11:45:00+05:30,346.55,346.8,345.55,346.4,1309190,SBIN
2021-04-26 12:00:00+05:30,346.5,346.55,345.7,346.35,1235179,SBIN
2021-04-26 12:15:00+05:30,346.35,346.7,345.4,345.9,1639284,SBIN
2021-04-26 12:30:00+05:30,345.95,345.95,345.0,345.3,1627619,SBIN
2021-04-26 12:45:00+05:30,345.3,345.9,345.15,345.85,1221696,SBIN
2021-04-26 13:00:00+05:30,345.85,346.4,344.8,345.8,1650313,SBIN
2021-04-26 13:15:00+05:30,345.75,345.95,345.05,345.75,852204,SBIN
2021-04-26 13:30:00+05:30,345.75,345.75,344.9,345.25,882901,SBIN
2021-04-26 13:45:00+05:30,345.25,346.8,345.1,346.25,1763353,SBIN
2021-04-26 14:00:00+05:30,346.2,346.5,345.75,346.25,953140,SBIN
2021-04-26 14:15:00+05:30,346.2,346.3,344.6,345.1,1774941,SBIN
2021-04-26 14:30:00+05:30,345.05,345.55,343.0,344.25,2746628,SBIN
2021-04-26 14:45:00+05:30,344.2,345.35,343.55,343.9,1615426,SBIN
2021-04-26 15:00:00+05:30,343.9,344.55,343.65,344.0,2058999,SBIN
2021-04-26 15:15:00+05:30,343.85,345.1,343.6,344.9,2218304,SBIN
2021-04-27 09:15:00+05:30,344.0,346.35,342.5,345.2,3055219,SBIN
2021-04-27 09:30:00+05:30,345.1,346.7,344.9,346.2,2290936,SBIN
2021-04-27 09:45:00+05:30,346.2,346.4,345.4,345.95,949644,SBIN
2021-04-27 10:00:00+05:30,346.0,346.7,345.9,346.1,1387000,SBIN
2021-04-27 10:15:00+05:30,346.1,347.25,345.9,347.1,1596502,SBIN
2021-04-27 10:30:00+05:30,347.1,349.35,347.0,349.25,2567465,SBIN
2021-04-27 10:45:00+05:30,349.3,350.95,348.9,350.7,3498080,SBIN
2021-04-27 11:00:00+05:30,350.7,350.8,349.1,349.15,1974328,SBIN
